Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
IRG,303.11,15.64,1.84,2.23,2.22
IRG,247.47,17.08,0.95,2.2,1.82
IRG,251.09,25.6,0.51,2.31,9.69
IRG,263.56,14.91,3.96,3.21,3.12
IRG,253.87,14.32,0.75,3.35,2.92
IRG,240.26,26.15,0.46,2.38,3.08
IRG,363.1,15.86,0.9,2.74,3.02
IRG,260.25,13.66,0.75,3.36,3.5
IRG,367.98,40.22,1.15,1.74,1.17
IRG,493.06,21.69,0.62,2.18,2.69
IRG,743.13,22.58,0.7,2.09,2.69
IRG,381.34,31.1,1.34,1.91,2.06
IRG,668.93,32.01,1.59,3.47,3.74
IRG,695.28,31.07,1.62,3.69,3.96
IRG,239.01,24.8,0.55,1.71,5.13
IRG,400.26,41.52,0.82,1.46,3.61
IRG,466.83,37.06,1.16,1.3,4.82
IRG,380.51,8.1,2.61,1.85,0.96
IRG,418.96,11,2.44,1.58,0.94
IRG,328.96,10.97,2.43,1.85,1.38
IRG,555.34,15.36,3.18,2.09,1.59
IRG,447.32,13.9,2.36,1.77,1.34
IRG,385,7.05,2.08,1.96,1
IRG,232.83,27.85,0.94,1.37,0.4
IRG,384.32,13.13,3.48,1.48,1.33
IRG,309.11,24.51,0.51,1.35,0.3
IRG,264.1,21.63,0.35,1.36,0.37
IRG,136.86,30.84,0.38,1.42,0.74
IRG,113.08,29.99,0.85,1.6,0.25
IRG,105.46,25.05,0.89,1.48,0.5
IRG,134.52,35,0.81,1.43,0.43
IRG,157.85,32.58,0.72,1.54,0.51
IRG,173.99,30.64,0.64,1.6,0.56
IRG,265.54,28.71,0.39,1.43,0.9
IRG,174.89,27.36,0.42,1.46,0.73
IRG,368.31,13.17,1.32,1.98,8.38
IRG,293.08,31.94,0.48,1.34,1.03
IRG,79.08,33.38,0.51,1.48,0.55
IRG,315.04,11.84,2.05,1.54,2.4
IRG,370.2,10.27,0.83,1.83,3.8
IRG,257.46,9.94,2.34,1.3,3.92
IRG,281.39,11.35,0.62,1.89,3.07
IRG,78.08,6.35,1.83,1.66,1.05
IRG,130.62,7.11,2.34,1.59,0.52
IRG,80.64,7.4,0.77,1.38,0.4
IRG,600.73,7.41,0.91,1.46,1.49
IRG,200.18,7.95,8.42,1.63,0.58
IRG,439.6,5.02,2.41,3.63,1.35
IRG,508.76,12.98,0.78,1.59,1.68
IRG,232.11,5.57,2.29,1.54,1.49
IRG,112.74,5.59,2.95,1.37,1.39
IRG,219.18,7.64,1.94,1.82,1.32
IRG,470.47,12.61,1.74,1.76,2.08
IRG,77.75,6.42,0.45,3.95,6.01
IRG,227.4,7.2,3.54,4.19,3.94
IRG,198.53,6.42,3.37,4.29,2.49
IRG,265.53,7.32,4.68,3.72,3.92
IRG,296.7,7.27,6.9,3.66,3.61
IRG,267.76,7.79,3.42,3.27,4.36
IRG,57.3,6.89,0.66,1.63,3.43
IRG,66.27,4.01,0.35,1.51,1.9
IRG,128.71,7.94,1.44,1.96,1.76
IRG,74.3,5.7,3.13,1.43,2.14
IRG,67.4,6.76,1.84,1.51,3.4
IRG,84.92,5.84,1.16,1.76,1.35
IRG,82.13,5.39,0.53,1.53,3.9
IRG,87.42,7.2,1.16,1.37,3.38
orogenic,96.11,33.43,1.78,1.22,0.6
orogenic,167.72,36.96,9.36,1.5,1.09
orogenic,223.84,39.79,0.75,1.24,1.29
orogenic,138.35,29.18,8.44,1.29,0.62
orogenic,158.35,36.98,4.86,1.34,0.47
orogenic,285.39,27.91,0.63,1.74,1.36
orogenic,413.17,27.31,0.69,1.59,0.47
orogenic,355.03,31.41,0.66,1.64,0.79
orogenic,458.07,34.63,0.82,1.38,1.7
orogenic,369.58,28.89,0.46,1.63,0.43
orogenic,500.52,28.22,0.48,1.6,0.54
orogenic,301.43,25.17,0.69,1.41,0.38
orogenic,625.21,30.93,0.72,1.64,0.5
orogenic,234.97,8.7,0.85,1.07,0.33
orogenic,331.68,8.21,0.82,0.99,0.7
orogenic,274.88,8.98,6.43,0.87,0.63
orogenic,244.69,9.6,0.78,1.14,0.67
orogenic,254.11,8.7,3.9,0.81,0.32
orogenic,131.34,7.57,2.16,0.85,0.27
orogenic,464.25,9.21,8.59,0.81,0.42
orogenic,201.79,9.21,0.81,0.97,0.4
orogenic,187.84,9.69,3.78,0.84,0.27
orogenic,4021.21,1.81,0.99,1.11,9.97
orogenic,1635.02,1.68,0.99,1,9.69
orogenic,2195.68,1.56,0.99,1.78,10.14
orogenic,1642.35,1.73,0.99,1,9.59
orogenic,2722.96,3.86,0.99,2.83,11.53
orogenic,3729.38,2.43,0.99,1.68,5.36
orogenic,3381.72,2.47,0.99,1.44,2.08
orogenic,2690.49,2.01,0.99,2.01,13.36
orogenic,2693.83,2.1,0.99,1.99,13.46
orogenic,3642.88,2.26,0.99,1.7,4.56
orogenic,3418.39,2.74,0.99,1.35,6.21
orogenic,3175.76,3.55,0.99,1.32,9.08
orogenic,3277.12,4.84,1,1.31,9.45
orogenic,3674.03,2.31,0.99,1.84,11.94
orogenic,3160.63,2.46,0.99,1.57,14.68
orogenic,3467,2.89,0.99,2.07,9.31
orogenic,3153.06,3.84,0.99,2.36,5.47
orogenic,1976.5,1.9,1,9.19,3.95
orogenic,3724.63,1.67,0.99,0.98,18.02
orogenic,2569.64,3.09,1,1.69,0.97
orogenic,2268.47,2.24,0.99,1.03,6.06
orogenic,3622.59,3.24,0.99,0.96,18.75
orogenic,2894.74,2.95,0.99,1.03,15.49
orogenic,161.4,4.02,0.82,0.62,0.27
orogenic,122.17,2.61,4.27,0.69,0.32
orogenic,212.04,4.7,5.43,0.57,0.43
orogenic,140.7,3.45,2.4,0.73,0.35
orogenic,270.43,3.67,3.65,0.51,0.5
orogenic,159.37,10.21,5.14,0.82,1.15
orogenic,220.04,3.06,1.2,0.69,0.44
orogenic,87.63,5.67,6.11,0.71,0.41
orogenic,98.65,4.67,2.31,0.56,0.76
orogenic,102.27,3.56,4.75,0.6,0.76
orogenic,166.75,4.06,0.92,0.71,0.49
orogenic,143.13,5.25,5.02,0.63,0.81
orogenic,187.43,5.54,0.88,0.59,0.93
orogenic,192.63,5.09,0.79,0.74,0.55
orogenic,126.43,13.8,0.63,0.49,2.64
orogenic,110.01,20.82,1.7,0.72,0.74
orogenic,91.03,14.74,1.45,0.82,0.53
orogenic,147.94,17.6,2.25,0.8,0.7
orogenic,112.52,16.41,0.6,0.63,1.3
orogenic,110.46,17.85,1.53,0.73,1.73
orogenic,122.36,16.47,1.42,0.72,2.52
orogenic,119.76,15.73,1.13,0.62,1.58
orogenic,99.89,17.96,2.24,0.78,1.01
orogenic,94.44,18.43,2.85,0.83,0.32
orogenic,1623.42,3.41,0.51,6.98,1.33
orogenic,634.55,1.77,0.72,2.84,0.51
orogenic,782.73,9.89,0.91,5.31,0.63
orogenic,1714.92,3.13,0.64,8,0.99
orogenic,249.32,2.67,0.81,2.83,0.37
orogenic,249.32,2.67,0.81,2.83,0.37
orogenic,454.56,2,0.88,3.61,0.57
orogenic,606.89,2.94,0.76,2.88,0.44
orogenic,452.47,2.15,0.78,3.25,0.61
orogenic,516.16,2.69,0.82,4.93,0.45
orogenic,387.73,2.34,0.83,2.91,0.27
orogenic,387.73,2.34,0.83,2.91,0.27
orogenic,1345.75,7.22,0.85,6.94,0.38
orogenic,725.85,4.28,0.82,3.94,0.58
orogenic,556.12,3.85,0.8,3.87,0.35
orogenic,1393.79,3.9,0.7,4.69,0.45
orogenic,322.64,1.81,0.65,2.26,0.5
orogenic,559.44,5.49,0.79,3.93,0.8
orogenic,420.39,2.15,0.82,2.56,0.26
orogenic,648.54,4.35,0.78,3.73,0.29
orogenic,822.09,3.45,0.65,2.82,0.31
orogenic,822.09,3.45,0.65,2.82,0.31
orogenic,450.92,2.57,0.73,2.7,0.32
orogenic,407.71,2.35,0.71,2.56,0.37
orogenic,789.44,2.8,0.79,3.66,0.42
orogenic,789.44,2.8,0.79,3.66,0.42
orogenic,675.37,5.8,0.87,5,0.53
orogenic,662.35,2.89,0.79,3.84,0.35
orogenic,662.35,2.89,0.79,3.84,0.35
orogenic,111.94,1.92,0.69,1.61,0.53
orogenic,552.85,3.45,0.71,3.13,0.32
orogenic,552.85,3.45,0.71,3.13,0.32
orogenic,374.38,2.15,0.85,2.63,0.73
orogenic,519.62,1.78,0.82,2.67,0.54
orogenic,519.62,1.78,0.82,2.67,0.54
orogenic,741.96,2.22,0.66,3.1,0.35
orogenic,741.96,2.22,0.66,3.1,0.35
orogenic,359.13,2.13,0.74,2.48,0.57
orogenic,119.56,6.13,0.79,1.57,0.9
orogenic,158.45,1.78,0.57,1.94,0.36
orogenic,130.99,3.78,1.18,1.64,1.58
orogenic,370.4,2.59,0.8,2.71,0.31
orogenic,370.4,2.59,0.8,2.71,0.31
orogenic,53.57,2.6,0.75,1.09,0.27
orogenic,412.78,2.31,0.36,1.09,0.32
orogenic,71.91,5.19,3.47,1.1,0.41
orogenic,201.79,6.35,0.75,1.25,0.45
orogenic,137.66,5.39,0.7,1.56,0.33
orogenic,196.48,6.86,0.46,1.5,0.54
orogenic,168.47,6.25,0.53,1.43,0.28
orogenic,103.72,5.03,0.41,1.32,0.3
orogenic,103.81,5.77,0.67,1.26,0.34
orogenic,52.81,6.81,1.59,1.3,0.72
orogenic,257.88,5.75,0.57,1.3,1.06
orogenic,125.6,7.07,0.55,1.48,0.32
orogenic,138.11,5.43,0.7,1.22,0.68
orogenic,90.23,5.48,0.55,1.48,0.42
orogenic,52.04,1.97,0.51,1.29,0.56
orogenic,91.59,6.36,0.74,1.64,0.34
orogenic,92.53,6.35,0.75,1.64,0.35
orogenic,212.29,4.96,0.87,1.94,0.7
orogenic,191.22,6.07,0.72,1.46,0.47
orogenic,209.86,5.19,0.74,1.27,0.43
orogenic,118.94,8.32,0.45,1.37,0.6
orogenic,386.74,7.79,0.77,2,1.15
orogenic,425.47,8.49,0.55,1.82,1.26
orogenic,223.07,3.8,0.8,1.19,0.36
orogenic,3143.73,2.3,0.99,0.75,6.4
orogenic,2331.64,1.85,0.99,12.42,1.33
orogenic,97.86,1.56,0.4,1.42,0.43
orogenic,57.47,1.62,0.43,1.23,0.84
orogenic,201.82,2.49,0.37,1.18,1.62
orogenic,77.03,3.84,0.42,0.45,0.37
pegmatite,214.14,8.71,4.15,3.15,0.4
pegmatite,245.87,12.43,8.35,3.06,0.32
pegmatite,307.33,9.93,2.65,2.89,0.86
pegmatite,370.12,14.47,3.58,2.83,0.66
pegmatite,407.54,14.28,3.2,2.92,0.68
pegmatite,260.67,11.3,7.89,3.17,0.35
pegmatite,411.27,10.26,5.35,3.26,0.77
pegmatite,417.8,8.82,2.22,3.05,0.99
pegmatite,262.46,8.69,4.24,3.01,0.33
pegmatite,339.55,11.25,4.21,2.98,1.17
pegmatite,232.24,11.61,5.99,2.92,0.35
pegmatite,242.48,10.49,3.47,3.03,1.84
pegmatite,121.44,17.91,3.97,3.36,0.55
pegmatite,405.73,15.02,2.61,2.66,0.59
pegmatite,159.49,9.88,1.57,2.54,1.73
pegmatite,135.15,5.11,0.53,2.88,2.16
pegmatite,257.11,15.3,4.36,3.71,0.99
granite,288,26.1,39.6,1.87,0.02
granite,1091,49.05,39.7,2.18,0.021
granite,195,9.355,13.2,1.97,0.091
granite,366,10.07,15.8,2.24,0.084
granite,180,9.405,17.1,2.05,0.037
granite,100,8.89,9.79,2.1,0.021
granite,426,12.5,13.7,2.46,0.054
granite,339,8.565,20.9,2.15,0.032
granite,279,8.915,10.8,1.88,0.025
granite,277,9.18,8.47,1.89,0.056
granite,409,9.4,11.2,1.8,0.02
granite,260,8.595,8.53,1.76,0.021
granite,564,20.65,10,2.59,0.037
granite,205,7.22,9.45,1.15,0.109
granite,252,8.08,14,1.7,0.041
greisen,237,7.27,16.8,1.47,0.83
greisen,787,4.75,31.1,2.2,0.179
greisen,283,8.28,29.7,2.15,0.041
greisen,313,8.32,23.3,1.91,0.297
greisen,271,8.18,14.1,1.5,0.1
greisen,175,7.16,10.6,1.91,0.047
greisen,562,10.115,9.38,2.19,0.061
greisen,187,5.39,12.3,1.86,0.019
greisen,131,6.56,5.88,1.46,0.024
greisen,351,6.865,18.4,1.6,0.072
pegmatite,1333,26.6,79.3,3.04,0.15
pegmatite,1199,19.3,109,2.83,0.209
pegmatite,1252,20.85,114,2.69,0.146
pegmatite,1458,18.25,70.4,2.49,0.132
pegmatite,465,13.7,47.7,2.43,0.024
pegmatite,431,14.7,17.2,2.36,0.097
pegmatite,1455,18.55,93.3,2.2,0.061
pegmatite,215,21.15,18.7,2.04,0.031
pegmatite,397,41.5,47,1.99,0.028
pegmatite,332,46,11.9,1.78,0.031
pegmatite,107,13.5,7.04,1.77,0.049
pegmatite,281,30.5,42,1.73,0.015
pegmatite,344,37.55,35.5,1.31,0.032
epithermal,1941,3,4.2,9,0.16
epithermal,1672,5.9,1.6,8.7,0.12
epithermal,2098,6.3,3.9,7.7,0.01
epithermal,1575,2.7,1.9,7.5,0.18
epithermal,1575,2.3,1.9,7,0.07
epithermal,1385,2,4.3,6.7,0.02
epithermal,967,1.9,4.7,6.7,0.01
epithermal,1280,2.1,8.5,6.5,0.35
epithermal,910,1.6,1,6,0.02
epithermal,1577,4.2,3.2,5.7,0.11
epithermal,1407,2.9,2.5,5.6,0.2
epithermal,1347,3.2,0.71,5.3,0.02
epithermal,1678,5.3,2.4,4.9,0.02
epithermal,1167,1.8,1.1,4.7,0.05
epithermal,975,3.2,1.1,4.4,0.03
epithermal,719,1.6,3,4.2,0.01
epithermal,588,1.5,6.1,4.1,0.01
epithermal,833,1.7,1.3,3.8,0.05
epithermal,1570,4.7,2.1,3.7,0.02
epithermal,384,2.3,2.5,3.6,0.03
epithermal,973,1.9,0.69,3.5,0.01
epithermal,1030,2.8,8.3,3.5,0.01
epithermal,1362,2.8,12.4,3.1,0.01
epithermal,412,4.6,3.9,2.4,0.01
epithermal,54.044429,0.665,4.438228,7.343429,0.8771
epithermal,253,12,1.4,2.8,0.94
orogenic,740,8,7.9,16,1.2
orogenic,510,1.9,11.2,22,8.5
orogenic,166,1.4,3.7,19,0.08
orogenic,142,19,9.6,11,0.27
orogenic,67.6,0.64,8.2,2.7,0.071
orogenic,17.8,1.24,0.25,2.8,0.08
orogenic,40.6,3.8,0.39,4,0.038
orogenic,32.3,1.62,0.61,2.01,0.0257
orogenic,37.5,2.88,1.57,1.54,0.101
orogenic,11.63,1.53,0.07,1.24,0.028
orogenic,10.3,1.56,0.063,1.3,0.09
orogenic,10.9,1.4,0.119,1.73,0.07
orogenic,10.8,1.59,0.073,1.28,0.0137
orogenic,240,9,12.3,17,0.65
orogenic,28.8,2.3,1.54,1.65,0.0155
orogenic,37.4,3.51,0.93,2.02,0.09
orogenic,270,16,4,18,0.35
orogenic,316,4.9,3.6,20,3.2
orogenic,80,3.4,0.37,4.8,0.4
orogenic,35.9,1.98,0.465,1.18,0.144
orogenic,17.9,2.01,0.16,1.58,0.08
orogenic,14.4,1.45,0.72,1.69,0.02
orogenic,23.5,1.83,0.492,1.42,0.138
orogenic,25.1,1.88,0.07,0.93,0.214
orogenic,20.34,1.53,0.584,2.26,0.053
orogenic,11.7,1.84,0.046,2.2,0.42
orogenic,21.48,1.37,0.24,2.7,0.092
orogenic,28.8,1.03,0.581,2.13,0.401
orogenic,55,1.2,1.87,2.58,0.237
orogenic,12.8,1.55,0.142,1.72,0.105
orogenic,20.3,1.27,0.273,1.92,0.237
orogenic,15.65,1.22,0.067,2.03,0.39
orogenic,37.5,1.57,1.47,1.47,0.382
orogenic,11.91,1.08,0.128,2.13,0.041
orogenic,15.7,1.55,0.189,1.93,0.157
orogenic,23.69,1.02,0.259,2.2,0.169
orogenic,25.1,1.15,0.093,1.85,0.401
orogenic,17.86,1.48,0.11,2.08,0.115
orogenic,36.9,1.37,0.53,2.22,0.067
orogenic,19.98,1.22,0.183,1.76,0.094
orogenic,10.89,1.24,0.049,1.47,0.077
orogenic,15.74,1.22,0.03,1.36,0.265
orogenic,12.32,1.17,0.062,1.3,0.135
orogenic,11.96,1.03,0.096,1.86,0.48
orogenic,26.81,1.19,0.17,1.95,0.724
orogenic,26,1.51,0.675,1.58,0.0108
orogenic,35.96,1.96,2.79,1.71,0.0203
orogenic,37.92,1.92,1.06,1.74,0.001
orogenic,19.64,1.46,0.3,1.63,0.0024
orogenic,11.06,1.5,0.146,1.93,0.096
orogenic,5.84,1.53,0.058,1.47,0.071
orogenic,36.4,1.82,5.03,1.92,0.0005
orogenic,33.89,1.8,1.5,1.43,0.0033
orogenic,9.89,1.51,0.277,1.4,0.179
orogenic,26.96,1.7,0.915,1.89,0.026
orogenic,6.81,1.32,0.526,1.5,0.0028
orogenic,8.81,1.26,0.054,1.28,0.034
orogenic,21.11,1.31,1.4,1.83,0.033
orogenic,11.01,1.54,0.297,1.44,0.002
orogenic,32.8,1.81,0.148,1.51,0.34
orogenic,30.67,1.39,0.678,1.79,0.053
orogenic,21.2,1.47,0.18,1.74,0.12
orogenic,26.59,1.36,0.729,2.07,0.0142
orogenic,24.39,1.44,1.56,1.55,0.0103
orogenic,8.95,1.42,0.473,1.38,0.107
orogenic,19.78,1.5,0.398,1.8,0.0124
orogenic,29,1.5,1.45,1.45,0.074
orogenic,10.72,1.61,0.62,1.53,0.021
orogenic,15.6,1.57,2.18,1.94,0.06
orogenic,25.24,1.47,2.02,1.97,0.0058
orogenic,24.31,1.34,1.6,1.75,0.0087
orogenic,7.11,1.35,0.286,1.37,0.0009
orogenic,6.82,1.02,0.425,1.31,0.0057
orogenic,13.6,0.96,0.233,1.27,0.0066
orogenic,14.54,1.35,0.575,1.3,0.134
orogenic,12.79,0.89,0.163,0.84,0.295
orogenic,3.86,0.67,0.091,1.31,0.019
orogenic,7.74,1.86,0.064,1.41,0.002
skarn,572,38.866,4.417,1.019,2.139
skarn,174,4.037,0.914,0.64,1.1
skarn,273,15.736,6.739,0.682,0.408
skarn,15.248,1.123,0.263,0.55,0.047
skarn,22.036,0.758,0.745,0.511,0.895
skarn,103,1.442,1.025,0.588,1.18
skarn,118,0.239,0.288,0.794,4.077
skarn,1207,1.272,13.709,4.162,11.065
skarn,964,0.741,3.865,2.602,10.043
skarn,354,10.457,1.67,1.649,3.452
skarn,1062,3.018,11.352,1.9,10.178
skarn,406,141,2.776,1.746,2.272
skarn,1138,32.933,19.254,4.16,6.111
skarn,637,0.53,10.387,2.378,6.455
skarn,751,0.982,7.922,7.02,3.573
skarn,145,0.57,1.062,1.223,4.77
skarn,88.254,2.654,1.274,2.876,0.826
skarn,587,4.905,14.794,7.46,2.174
skarn,50.844,23.95,0.571,1.593,0.056
skarn,260,30.791,3.015,2.62,4.429
skarn,242,3.049,1.938,1.333,4.486
skarn,181,65.933,3.157,1.828,0.607
skarn,174,73.478,7.678,1.853,1.132
skarn,374,23.484,4.098,1.608,1.131
skarn,428,3.243,6.129,5.779,5.198
skarn,527,11.015,13.097,9.14,3.349
skarn,64.718,1.918,0.19,1.485,0.926
skarn,406,2.361,5.032,1.99,4.864
skarn,159,2.17,0.797,1.162,1.264
skarn,475,0.694,10.054,3.107,4.116
skarn,895,2.078,32.032,6.396,1.364
skarn,133,0.12,2.826,3.146,0.309
skarn,67.949,4.095,0.786,0.801,0.215
skarn,557,11.422,11.748,5.271,1.466
skarn,1905,13.253,18.429,2.959,2.045
skarn,105,38.902,0.573,2.003,3.342
skarn,882,4.458,15.41,3.562,6.082
skarn,245,1.151,5.791,3.155,0.336
skarn,229,1.607,4.628,2.364,0.173
skarn,1335,3.36,27.684,6.679,8.755
skarn,92.443,0.64,1.932,1.308,0.387
skarn,49.155,0.572,0.54,0.534,0.146
skarn,72.509,1.535,0.03,0.591,54.28
skarn,810,2.955,6.729,3.154,10.728
skarn,88.153,10.626,0.702,1.486,0.782
skarn,70.019,4.099,0.429,0.985,0.429
skarn,85.482,12.285,5.113,1.301,0.203
skarn,97.103,3.228,0.397,1.002,0.94
skarn,61.765,2.447,0.093,0.834,1.631
skarn,27.118,2.307,0.207,1.179,0.262
skarn,967,13.856,14.505,11.676,1.035
skarn,1312,40.452,3.56,5.769,8.136
skarn,421,5.05,8.129,2.66,0.728
skarn,23.951,8.05,2.314,1.442,0.002
skarn,465,3.075,5.225,2.07,0.419
skarn,73.071,21.022,0.837,2.276,0.624
skarn,156,2.675,1.122,2.721,1.582
skarn,241,1.461,1.309,1.532,5.582
skarn,425,0.827,1.282,2.69,5.017
skarn,138,0.723,0.6,2.184,0.702
skarn,146,1.163,2.057,2.253,1.328
skarn,144,1.552,1.07,1.778,1.232
skarn,223,6.532,6.347,9.029,1.02
skarn,247,3.677,1.508,2.207,2.166
skarn,166,1.539,0.336,0.457,3.43
skarn,92.734,1.691,4.669,0.973,9.608
skarn,61.073,1.212,1.308,0.944,1.066
skarn,99.611,1.599,0.423,1.985,5.052
skarn,1621,3.876,53.215,3.266,13.792
skarn,1413,1.348,46.756,17.763,2.02
skarn,1017,1.169,26.237,11.348,4.741
skarn,461,2.605,7.013,6.037,1.6
skarn,197,1.597,2.983,1.878,0.374
skarn,306,0.624,4.617,1.174,5.068
skarn,32.175,1.802,1.076,0.938,8.989
skarn,11.325,0.181,0.073,0.553,1.583
skarn,1843,0.715,59.497,4.303,13.562
skarn,20.189,0.261,0.292,0.813,0.389
skarn,596,0.824,8.81,2.663,6.71
skarn,97.622,1.874,1.57,1.256,4.192
skarn,159,1.764,0.956,0.757,11.21
skarn,22.874,2.464,0.058,0.738,2.964
skarn,62.826,3.599,0.309,0.535,0.443
skarn,8.581,1.582,0.099,0.563,3.714
skarn,772,1.352,14.877,2.687,7.92
skarn,77.613,2.302,2.791,0.651,1.087
skarn,1359,6.293,25.652,5.545,6.67
skarn,1542,8.599,33.045,5.95,12.929
skarn,1043,3.616,21.161,5.624,7.854
skarn,1277,3.85,10.374,5.294,25.337
skarn,2353,1.966,1.014,1.665,4.644
skarn,224,2.47,0.438,0.735,19.737
skarn,768,2.809,4.199,1.902,7.419
skarn,139,2.247,0.325,0.51,4.455
skarn,674,13.667,12.917,3.808,8.482
skarn,452,2.641,5.214,3.338,2.882
skarn,909,6.763,32.136,5.192,2.495
skarn,164,1.068,0.732,3.385,7.735
skarn,2254,4.631,66.271,13.535,19.569
skarn,241,0.731,4.541,2.724,0.548
skarn,843,0.643,25.816,8.989,4.02
skarn,220,0.732,3.779,4.318,0.822
skarn,1721,7.231,12.36,9.809,15.51
skarn,2321,10.711,29.528,18.403,3.728
skarn,2247,5.26,20.519,5.508,7.802
skarn,3545,4.469,124,23.148,12.841
skarn,3579,2.059,114,17.818,19.349
skarn,3064,1.922,108,19.126,12.72
skarn,1604,0.955,52.676,8.103,8.4
skarn,1929,0.737,64.43,9.268,10.67
skarn,613,0.835,13.726,3.352,8.35
skarn,1275,6.613,8.979,3.322,5.335
skarn,256,0.51,3.208,1.235,0.755
skarn,569,1.969,16.501,2.999,0.808
skarn,200,2.037,2.133,4.833,0.569
skarn,1191,12.883,16.199,6.248,3.63
skarn,483,1.448,4.811,5.484,1.54
skarn,306,2.235,3.253,3.677,0.298
skarn,944,5.493,7.131,4.853,2.999
skarn,536,9.103,16.011,8.649,0.033
skarn,517,3.766,10.109,3.722,1.607
skarn,48.049,1.05,0.37,1.778,0.327
skarn,99.008,25.464,0.568,0.872,11.455
skarn,139,30.42,1.786,0.809,1.248
skarn,253,2.92,6.279,1.484,0.841
skarn,898,2.786,44.767,4.494,1.064
skarn,373,10.715,17.935,4.342,0.264
skarn,142,4.207,2.042,3.134,2.353
skarn,83.786,3.353,0.674,1.063,1.137
skarn,832,5.692,22.512,7.114,2.435
skarn,1453,4.72,39.457,21.093,5.769
skarn,472,1.527,5.793,8.775,3.244
skarn,1716,11.093,27.312,16.5,3.375
skarn,61.237,1.405,0.297,2.676,0.311
skarn,99.974,1.411,0.959,3.866,1.013
skarn,289,0.977,9.054,3.792,0.502
skarn,570,3.195,7.775,5.79,13.537
skarn,139,1.137,1.893,2.891,2.035
skarn,221,1.02,0.67,2.289,1.178
skarn,245,0.683,4.579,2.234,3.613
skarn,117,1.187,1.794,0.776,2.846
skarn,14.592,0.967,0.056,1.013,0.049
skarn,239,3.62,6.299,6.343,1.105
skarn,119,3.621,0.684,1.344,2.005
skarn,165,1.17,3.618,3.919,0.463
skarn,719,3.261,21.429,5.532,0.245
skarn,64.682,6.412,0.2,0.754,10.141
skarn,154,2.182,0.441,0.803,0.949
skarn,80.14,0.911,1.038,0.747,0.519
skarn,30.847,0.991,0.255,0.637,0.007
skarn,3312,2.279,101,6.416,8.295
skarn,234,2.969,8.775,1.23,0.014
skarn,210,2.507,5.649,1.604,0.035
skarn,84.692,1.697,0.759,1.798,2.649
skarn,2244,1.175,27.848,3.572,24.323
skarn,74.516,2.537,0.906,1.438,0.411
skarn,184,1.962,0.745,1.2,2.704
skarn,61.155,1.033,0.247,1.138,2.827
skarn,81.522,2.138,0.24,0.98,1.084
skarn,418,11.754,5.879,7.081,5.908
skarn,86.151,11.426,0.397,2.461,2.211
skarn,81.375,13.602,0.537,0.803,6.034
skarn,65.595,4.529,0.574,0.545,5.401
skarn,114,12.979,3.392,0.73,1.284
skarn,57.499,6.779,3.498,0.582,0.052
skarn,597,0.832,4.735,3.464,5.777
skarn,341,1.445,4.524,8.004,1.735
skarn,651,3.078,15.951,11.814,0.737
skarn,82.64,0.263,0.258,1.086,0.875
skarn,42.842,0.206,0.597,1.521,0.057
skarn,159,0.265,1.459,1.722,2.791
skarn,1400,2.202,7.369,3.281,3.5
skarn,629,1.203,8.362,3.114,3.953
skarn,253,0.418,3.078,1.965,3.229
skarn,269,0.269,4.606,2.237,2.571
skarn,144,1.249,5.662,0.985,2.075
skarn,966,0.543,23.66,6.036,6.398
skarn,2450,12.783,12.835,4.845,4.752
skarn,2788,19.101,26.09,5.007,3.843
skarn,76.998,1.868,0.555,0.588,2.235
skarn,53.787,4.105,0.162,0.465,5.337
skarn,27.226,2.28,0.29,0.538,0.779
skarn,450,1.859,10.01,2.398,3.67
skarn,77.574,2.429,2.613,0.538,0.057
skarn,90.133,2.172,2.16,0.48,0.114
skarn,255,2.8,1.008,1.656,19.841
skarn,235,2.328,2.838,0.897,0.487
skarn,168,0.801,0.206,1.557,2.006
skarn,1015,6.89,14.266,9.166,4.108
skarn,258,0.774,3.449,4.984,1.174
skarn,1581,13.27,12.593,18.344,5.128
skarn,613,2.722,8.616,5.029,3.587
skarn,1254,22.285,12.872,8.041,5.336
skarn,365,7.38,3.024,4.049,2.221
skarn,896,16.711,10.242,4.15,1.995
skarn,379,6.096,13.534,3.244,0.144
skarn,382,6.327,14.584,3.603,0.322
skarn,126,1.007,2.628,1.638,0.396
skarn,60.598,1.6,0.916,5.668,0.139
skarn,511,1.533,8.663,7.134,0.956
skarn,291,9.7,2.381,4.35,2.219
skarn,2376,22.471,8.178,6.448,12.893
skarn,34.181,0.821,0.055,1.22,2.646
