Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
greisen,80,0.28,1.5,1.2,0.04
greisen,503,0.3,48.1,0.78,0.07
greisen,637,0.41,86.3,0.84,0.09
greisen,9.5,1.26,0.35,0.87,0.12
greisen,87,2.04,10.3,1.2,0.11
greisen,106,1.83,17.9,1.05,0.1
greisen,93,0.89,8.52,0.98,0.1
greisen,131,2.61,0.97,1.36,0.2
greisen,52,1.66,0.27,1.02,0.1
greisen,75,2.64,2.92,1,0.1
greisen,71,2.47,1.18,0.85,0.09
greisen,69,1.62,1.09,1.1,0.1
greisen,86,1.58,4.12,1.36,0.14
greisen,65,2.69,1.63,1.2,0.11
greisen,54,1.5,2.61,0.72,0.1
greisen,85,2.54,0.93,1.2,0.14
greisen,63,1.85,0.03,1.17,0.11
greisen,57,1.35,0.18,0.5,0.14
greisen,56,3.48,3.09,0.58,0.06
greisen,67,3.17,2.94,0.81,0.06
greisen,106,2.47,2.28,0.74,0.06
greisen,92,2.43,0.9,0.8,0.06
greisen,75,1.43,1.66,1.08,0.06
greisen,88,1.37,1.03,0.97,0.08
granite,232,7.1,4.6,1.08,0.19
granite,236,9,14.3,1.12,0.1
granite,132,8.6,14.1,2.91,0.06
granite,333,9.4,11,1.65,0.16
granite,212,6.7,9,1.84,0.17
granite,284,5.9,17,1.26,0.2
granite,313,5.8,19.2,1.6,0.2
granite,295,9.1,14.8,1.35,0.07
granite,299,5.2,23.5,1.53,0.08
granite,243,8.5,18.3,1.48,0.09
granite,258,5.7,26,1.65,0.08
granite,276,6,8.23,1.95,0.12
granite,269,9.4,37,1.69,0.16
granite,87,10.8,9.89,1.6,0.06
granite,99,6.47,5.6,1.86,0.05
granite,300,9.31,29.3,2.02,0.08
granite,264,10.5,42.5,1.77,0.05
granite,217,11.3,37,1.61,0.06
granite,224,11.7,41.4,1.53,0.05
granite,207,13.6,39.5,1.47,0.09
granite,239,12.4,24.7,1.51,0.05
granite,323,9.79,41,1.82,0.08
granite,258,9.97,36.3,1.66,0.05
granite,304,7.07,40,1.82,0.06
granite,259,8.52,20.1,2.01,0.04
granite,96,7.55,24.9,2.19,0.13
granite,245,8.7,23.1,1.89,0.15
granite,280,6.89,27.2,1.78,0.06
granite,418,10.9,28.8,1.65,0.06
granite,383,9.88,32.3,1.74,0.05
granite,245,9.12,31.2,1.98,0.09
granite,422,17,15,2.15,0.08
granite,120,10.2,13.2,1.92,0.06
granite,177,26.5,30.6,1.24,0.05
granite,188,23.8,37.3,1.4,0.05
granite,214,16,30.5,1.34,0.06
granite,286,9.56,20.2,1.52,0.06
granite,319,12.1,8.95,1.72,0.1
granite,137,6.13,12.6,2.15,0.05
granite,216,8.73,12.4,2.16,0.04
granite,212,9.98,31.9,1.43,0.05
granite,259,8.25,36.5,1.62,0.04
granite,245,7.09,37.2,1.7,0.04
granite,262,7.87,35.4,1.59,0.05
granite,239,10.6,28.2,1.51,0.04
granite,80,7.35,24.8,1.63,0.04
granite,235,8.7,18.3,1.63,0.1
granite,264,8.62,29.7,1.65,0.05
granite,243,6.9,20.2,1.74,0.04
granite,311,7.12,18,1.94,0.04
granite,220,7.4,42.2,2.07,0.06
granite,211,4.8,65.1,2.71,0.07
granite,324,7.3,44.8,2.5,0.1
granite,241,9,18.9,1.96,0.09
granite,348,9.3,16.5,1.89,0.14
granite,154,5.2,15.5,1.84,0.17
granite,265,7.4,14.3,2.02,0.07
granite,288,6.7,15.5,1.96,0.07
granite,250,6.6,17.1,1.65,0.08
granite,185,6.8,16.3,1.53,0.06
granite,161,7.1,16.9,1.51,0.08
granite,195,7.7,15.5,1.57,0.09
granite,199,8.4,18.3,1.61,0.07
